Tag,Category,PlainLanguage
nonprofits_and_foundations,Organization Type,Nonprofits & Foundations
member_organizations,Organization Type,Member Organizations
government,Organization Type,Government
private_sector,Organization Type,Private Sector
environment,Client Focus,Environment
energy,Client Focus,Energy
public_health,Client Focus,Public Health
education,Client Focus,Education
other,Client Focus,Other
